.model_id,.model_desc,.key,.index,.value,date,page_views,page_views_lag28,page_views_lag28_roll_28,page_views_lag28_roll_56,page_views_lag28_roll_84,date_sin28_K1,date_cos28_K1,date_sin56_K1,date_cos56_K1,date_sin84_K1,date_cos84_K1,id
1,NBEATS ENSEMBLE,prediction,2022-12-22,306.82348323012934,2022-12-22,NA,207,271.1904761904762,270.0571428571429,277.16326530612247,-1.195081961389572e-13,1,5.97540980694786e-14,-1,0.8660254037846101,-0.49999999999970296,1
1,NBEATS ENSEMBLE,prediction,2022-12-23,220.06085044470706,2022-12-23,NA,209,272,271.61764705882354,277.875,0.22252093395596753,0.9749279121819028,-0.1119644761031311,-0.9937122098932625,0.8262387743161044,-0.5633200580634614,1
1,NBEATS ENSEMBLE,prediction,2022-12-24,161.55304392147985,2022-12-24,NA,177,275.57894736842104,275.5151515151515,279.25531914893617,0.4338837391170247,0.9009688679026759,-0.22252093395602582,-0.9749279121818895,0.7818314824682001,-0.62348980185852,1
1,NBEATS ENSEMBLE,prediction,2022-12-25,210.0348058733243,2022-12-25,NA,199,279.27777777777777,277.4375,279.39130434782606,0.6234898018587971,0.7818314824679792,-0.3302790619552054,-0.9438833303083541,0.733051871829911,-0.6801727377708281,1
1,NBEATS ENSEMBLE,prediction,2022-12-26,307.9507506994986,2022-12-26,NA,314,275.8235294117647,276.4193548387097,277.97777777777776,0.7818314824679331,0.6234898018588547,-0.4338837391174883,-0.9009688679024528,0.6801727377710685,-0.7330518718296881,1
1,NBEATS ENSEMBLE,prediction,2022-12-27,304.1878331590216,2022-12-27,NA,333,270.6875,274.2,276.47727272727275,0.9009688679022493,0.4338837391179107,-0.5320320765151709,-0.8467241992283883,0.6234898018589541,-0.7818314824678539,1
1,NBEATS ENSEMBLE,prediction,2022-12-28,300.3634437788986,2022-12-28,NA,315,266.73333333333335,272.17241379310343,274.4186046511628,0.9749279121818863,0.22252093395603958,-0.6234898018588437,-0.7818314824679419,0.5633200580637323,-0.8262387743159197,1
1,NBEATS ENSEMBLE,prediction,2022-12-29,285.2503935044541,2022-12-29,NA,380,263.07142857142856,269.9642857142857,274.0952380952381,1,-4.563175758530873e-14,-0.7071067811865637,-0.7071067811865314,0.5000000000001837,-0.8660254037843326,1
2,XGBOOST,prediction,2022-12-02,265.3559875488281,2022-12-02,232,242,278,282.1272727272727,278.768115942029,0.9749279121818106,-0.22252093395637124,0.781831482468048,0.6234898018587107,0.5633200580635129,0.8262387743160693,1
2,XGBOOST,prediction,2022-12-03,207.2548828125,2022-12-03,212,143,278.7857142857143,284.1666666666667,281.1029411764706,0.9009688679024963,-0.43388373911739775,0.8467241992282368,0.532032076515412,0.6234898018585687,0.7818314824681613,1
2,XGBOOST,prediction,2022-12-04,239.38880920410156,2022-12-04,281,219,276.85714285714283,285.50943396226415,282.089552238806,0.7818314824682882,-0.6234898018584096,0.9009688679023293,0.4338837391177447,0.6801727377707071,0.7330518718300233,1
2,XGBOOST,prediction,2022-12-05,342.815673828125,2022-12-05,315,406,279.2142857142857,283.75,282.6666666666667,0.623489801858531,-0.7818314824681913,0.9438833303084103,0.3302790619550448,0.7330518718297303,0.6801727377710228,1
2,XGBOOST,prediction,2022-12-06,330.7959899902344,2022-12-06,380,271,276.42857142857144,281.70588235294116,282.5846153846154,0.43388373911753764,-0.900968867902429,0.9749279121818262,0.22252093395630332,0.7818314824678928,0.6234898018589053,1
2,XGBOOST,prediction,2022-12-07,319.7406311035156,2022-12-07,359,300,273.9642857142857,279.28,281.125,0.22252093395652256,-0.9749279121817761,0.9937122098932306,0.11196447610341395,0.8262387743158267,0.5633200580638688,1
2,XGBOOST,prediction,2022-12-08,324.3008117675781,2022-12-08,332,283,268.75,277.16326530612247,280.44444444444446,4.4978810358748904e-13,-1,1,2.2489405179374452e-13,0.8660254037843637,0.5000000000001299,1
2,XGBOOST,prediction,2022-12-09,283.8085021972656,2022-12-09,NA,255,268.4642857142857,277.875,280.88709677419354,-0.22252093395653225,-0.9749279121817739,0.9937122098932301,-0.11196447610341888,0.9009688679023199,0.4338837391177642,1
2,XGBOOST,prediction,2022-12-10,215.60565185546875,2022-12-10,NA,204,269.67857142857144,279.25531914893617,282.9344262295082,-0.4338837391175466,-0.9009688679024247,0.9749279121818251,-0.22252093395630815,0.9308737486440919,0.3653410243666812,1
2,XGBOOST,prediction,2022-12-11,232.98719787597656,2022-12-11,NA,209,269.14285714285717,279.39130434782606,284.25,-0.6234898018585389,-0.7818314824681851,0.9438833303084087,-0.3302790619550495,0.9555728057860939,0.294755174411056,1
2,XGBOOST,prediction,2022-12-12,351.3736877441406,2022-12-12,NA,338,269.32142857142856,277.97777777777776,283.20338983050846,-0.7818314824677272,-0.623489801859113,0.9009688679025244,-0.4338837391173395,0.9749279121817708,0.22252093395654604,1
2,XGBOOST,prediction,2022-12-13,359.5830383300781,2022-12-13,NA,358,268.9642857142857,276.47727272727275,282.98275862068965,-0.9009688679025006,-0.43388373911738887,0.8467241992282342,-0.5320320765154161,0.9888308262250814,0.14904226617648725,1
2,XGBOOST,prediction,2022-12-14,346.2181701660156,2022-12-14,NA,330,268.32142857142856,274.4186046511628,283.10526315789474,-0.9749279121818129,-0.22252093395636158,0.7818314824680449,-0.6234898018587146,0.9972037971811676,0.0747300935865915,1
2,XGBOOST,prediction,2022-12-15,341.41522216796875,2022-12-15,NA,318,269.9642857142857,274.0952380952381,282.5357142857143,-1,-2.8464814986322313e-13,0.7071067811866482,-0.7071067811864469,1,2.464651669165624e-13,1
2,XGBOOST,prediction,2022-12-16,285.69171142578125,2022-12-16,NA,284,271,272.7560975609756,282.1272727272727,-0.9749279121819395,0.22252093395580655,0.6234898018589371,-0.7818314824678675,0.9972037971812044,-0.07473009358609994,1
2,XGBOOST,prediction,2022-12-17,212.11387634277344,2022-12-17,NA,186,275.9230769230769,275.475,284.1666666666667,-0.9009688679023531,0.43388373911769534,0.5320320765152721,-0.8467241992283248,0.9888308262251548,-0.1490422661759998,1
2,XGBOOST,prediction,2022-12-18,237.46847534179688,2022-12-18,NA,212,278.2,275.71794871794873,285.50943396226415,-0.7818314824680822,0.6234898018586679,0.4338837391175959,-0.9009688679024009,0.9749279121818805,-0.22252093395606545,1
2,XGBOOST,prediction,2022-12-19,311.6897277832031,2022-12-19,NA,350,272.875,275.5,283.75,-0.6234898018589838,0.7818314824678302,0.3302790619553182,-0.9438833303083147,0.9555728057862393,-0.29475517441058496,1
2,XGBOOST,prediction,2022-12-20,312.3014221191406,2022-12-20,NA,284,272.95652173913044,273.1621621621622,281.70588235294116,-0.4338837391180595,0.9009688679021777,0.22252093395658568,-0.9749279121817617,0.930873748644272,-0.36534102436622234,1
2,XGBOOST,prediction,2022-12-21,280.529052734375,2022-12-21,NA,233,271.72727272727275,272.3611111111111,279.28,-0.2225209339562006,0.9749279121818496,0.11196447610324985,-0.9937122098932492,0.9009688679025338,-0.43388373911732003,1
2,XGBOOST,prediction,2022-12-22,276.0824279785156,2022-12-22,NA,207,271.1904761904762,270.0571428571429,277.16326530612247,-1.195081961389572e-13,1,5.97540980694786e-14,-1,0.8660254037846101,-0.49999999999970296,1
2,XGBOOST,prediction,2022-12-23,225.7878875732422,2022-12-23,NA,209,272,271.61764705882354,277.875,0.22252093395596753,0.9749279121819028,-0.1119644761031311,-0.9937122098932625,0.8262387743161044,-0.5633200580634614,1
2,XGBOOST,prediction,2022-12-24,151.00408935546875,2022-12-24,NA,177,275.57894736842104,275.5151515151515,279.25531914893617,0.4338837391170247,0.9009688679026759,-0.22252093395602582,-0.9749279121818895,0.7818314824682001,-0.62348980185852,1
2,XGBOOST,prediction,2022-12-25,179.17691040039062,2022-12-25,NA,199,279.27777777777777,277.4375,279.39130434782606,0.6234898018587971,0.7818314824679792,-0.3302790619552054,-0.9438833303083541,0.733051871829911,-0.6801727377708281,1
2,XGBOOST,prediction,2022-12-26,309.34368896484375,2022-12-26,NA,314,275.8235294117647,276.4193548387097,277.97777777777776,0.7818314824679331,0.6234898018588547,-0.4338837391174883,-0.9009688679024528,0.6801727377710685,-0.7330518718296881,1
2,XGBOOST,prediction,2022-12-27,289.58026123046875,2022-12-27,NA,333,270.6875,274.2,276.47727272727275,0.9009688679022493,0.4338837391179107,-0.5320320765151709,-0.8467241992283883,0.6234898018589541,-0.7818314824678539,1
2,XGBOOST,prediction,2022-12-28,295.099853515625,2022-12-28,NA,315,266.73333333333335,272.17241379310343,274.4186046511628,0.9749279121818863,0.22252093395603958,-0.6234898018588437,-0.7818314824679419,0.5633200580637323,-0.8262387743159197,1
2,XGBOOST,prediction,2022-12-29,309.1880798339844,2022-12-29,NA,380,263.07142857142856,269.9642857142857,274.0952380952381,1,-4.563175758530873e-14,-0.7071067811865637,-0.7071067811865314,0.5000000000001837,-0.8660254037843326,1
